client_id,prenume,nume,email,numar_telefon,client_premium,data_inregistrare
1,Sara,Mcguire,tsharp@example.net,(971)643-6089x9160,0,2013-11-18
2,Alisha,Hebert,vincentgarrett@example.net,+1-114-355-1841x78347,0,2014-04-09
3,Gwendolyn,Sheppard,mercadojonathan@example.com,9017807728,0,2010-07-23
4,Kristine,Mccann,lindsay55@example.com,+1-607-333-9911x59088,1,2011-02-22
5,Bobby,Pittman,blevinsmorgan@example.com,3739847538,0,2015-01-23
6,Calvin,Ramsey,loretta85@example.com,001-314-829-5014x1792,1,2011-06-07
7,Collin,Allison,yvaughn@example.net,(314)591-7413,0,2010-07-07
8,Nicholas,Branch,greerjimmy@example.net,-7199,0,2015-02-13
9,Emma,Robinson,charleshiggins@example.org,166-234-6882x7457,1,2014-06-25
10,Pedro,Cordova,leslie08@example.com,(389)824-3204x8287,1,2011-03-25
11,Jean,Aguilar,raymond24@example.org,(285)029-1604x5466,0,2011-10-12
12,Dwayne,Hutchinson,preston28@example.net,(233)811-1749x417,1,2012-12-21
13,Bradley,Velazquez,joycejay@example.net,(831)049-2030,1,2012-08-15
14,Samantha,Moon,wesleymullins@example.net,7788378816,1,2015-08-23
15,Clayton,Erickson,nterry@example.net,990-374-0521x33156,1,2010-12-12
16,Bradley,Bright,devinherman@example.net,2534420151,0,2013-02-10
17,Ernest,Maynard,tommywoodard@example.com,355-863-2311x6315,0,2012-03-12
18,Joe,Larsen,brianna43@example.org,(566)667-8566x109,0,2015-04-06
19,Alfred,Barrera,kristina40@example.net,4735530004,0,2014-08-29
20,Jon,Wagner,meagan99@example.org,001-940-671-0693x345,0,2014-07-15
21,Glen,Calderon,randystephenson@example.net,4890361487,0,2010-09-17
22,Marco,Sharp,cmcclure@example.net,074-415-1149,1,2011-09-17
23,Jermaine,Liu,tristanpatterson@example.net,001-887-131-9735x6172,0,2012-11-11
24,Cindy,Haynes,sonyamoyer@example.net,+1-166-565-3614x575,0,2015-02-28
25,Meghan,Blanchard,smejia@example.org,+1-188-201-3028x13440,0,2012-10-31
26,Julie,Delacruz,jillian34@example.net,903.237.1120x705,1,2015-04-01
27,Jackie,Munoz,villarrealgilbert@example.org,-8222,0,2014-01-10
28,Maureen,Vasquez,chogan@example.com,645.665.5931,1,2015-12-20
29,Theresa,Riddle,jasminlowe@example.org,(672)634-3364,0,2015-04-27
30,Jenny,Wiley,youngbrandon@example.net,507-684-0331,0,2015-10-28
31,Kirsten,Bailey,donaldsonomar@example.org,719.072.3811x9483,1,2015-03-20
32,Melody,Wiggins,mackrachael@example.net,138-424-2414x284,0,2012-04-16
33,Ruth,Bolton,newtonbridget@example.net,625-325-5178,0,2011-06-29
34,Jacqueline,Frederick,collin32@example.com,001-258-289-4822x430,1,2010-09-09
35,Theresa,Gilmore,gmerritt@example.net,167.275.8072x1394,0,2010-11-24
36,Stanley,Underwood,ravenbecker@example.com,001-718-046-2819x96662,0,2015-06-01
37,Brandy,Heath,pcarey@example.com,347.257.0051,1,2013-07-11
38,Terrence,Tucker,rmcdaniel@example.com,-2151,1,2010-02-27
